Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"09463";"Coburg, Stadt";"Kreise";"61,95";"61,36";"59,45";"58,59"
"09464";"Hof, Stadt";"Kreise";"65,29";"66,15";"63,93";"62,00"
"09471";"Bamberg";"Kreise";"73,47";"74,25";"73,27";"72,61"
"09472";"Bayreuth";"Kreise";"75,15";"76,54";"76,03";"75,18"
"09473";"Coburg";"Kreise";"74,67";"75,90";"75,44";"74,78"
"09474";"Forchheim";"Kreise";"67,65";"68,66";"67,79";"66,59"
"09475";"Hof";"Kreise";"75,59";"76,77";"76,31";"75,56"
"09476";"Kronach";"Kreise";"73,26";"74,55";"74,97";"74,36"
"09477";"Kulmbach";"Kreise";"74,44";"75,46";"74,42";"73,50"
"09478";"Lichtenfels";"Kreise";"72,78";"74,54";"73,83";"72,72"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"71,09";"72,86";"73,11";"72,04"
"09561";"Ansbach, Stadt";"Kreise";"62,40";"64,28";"62,86";"61,79"
"09562";"Erlangen";"Kreise";"45,18";"44,29";"40,93";"39,13"
"09563";"Fürth, Stadt";"Kreise";"56,96";"57,30";"55,79";"54,40"
"09564";"Nürnberg";"Kreise";"52,60";"52,43";"50,31";"48,74"
"09565";"Schwabach";"Kreise";"63,69";"64,80";"63,59";"62,53"
"09571";"Ansbach";"Kreise";"70,77";"71,90";"71,24";"70,54"
"09572";"Erlangen-Höchstadt";"Kreise";"62,32";"62,12";"60,99";"59,40"
"09573";"Fürth";"Kreise";"66,93";"67,89";"66,66";"65,79"
"09574";"Nürnberger Land";"Kreise";"67,05";"67,43";"65,99";"65,27"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"69,47";"71,20";"70,53";"69,62"
"09576";"Roth";"Kreise";"70,17";"71,28";"70,59";"69,88"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"72,05";"73,05";"72,57";"71,38"
"09661";"Aschaffenburg, Stadt";"Kreise";"57,94";"58,60";"56,53";"54,88"
"09662";"Schweinfurt, Stadt";"Kreise";"58,00";"60,64";"59,01";"57,40"
"09663";"Würzburg, Stadt";"Kreise";"53,17";"51,68";"48,54";"47,07"
"09671";"Aschaffenburg";"Kreise";"67,58";"68,87";"68,09";"66,74"
"09672";"Bad Kissingen";"Kreise";"72,45";"73,95";"73,42";"72,11"
"09673";"Rhön-Grabfeld";"Kreise";"73,37";"74,66";"74,46";"73,34"
"09674";"Haßberge";"Kreise";"74,17";"75,94";"76,13";"75,63"
"09675";"Kitzingen";"Kreise";"69,63";"70,30";"68,73";"67,44"
"09676";"Miltenberg";"Kreise";"68,63";"70,14";"69,48";"68,90"
"09677";"Main-Spessart";"Kreise";"71,94";"72,70";"72,47";"71,68"
"09678";"Schweinfurt";"Kreise";"70,24";"72,33";"72,17";"71,55"
"09679";"Würzburg";"Kreise";"70,59";"70,43";"68,50";"66,83"
"09761";"Augsburg, Stadt";"Kreise";"55,28";"54,99";"52,73";"51,24"
"09762";"Kaufbeuren";"Kreise";"65,60";"67,64";"66,29";"64,72"
"09763";"Kempten (Allgäu)";"Kreise";"64,09";"64,97";"61,92";"60,20"
"09764";"Memmingen";"Kreise";"65,17";"65,31";"64,06";"62,64"
"09771";"Aichach-Friedberg";"Kreise";"68,36";"69,17";"68,46";"66,99"
"09772";"Augsburg";"Kreise";"67,94";"69,02";"68,04";"66,97"
"09773";"Dillingen a.d.Donau";"Kreise";"70,34";"72,11";"71,69";"71,20"
"09774";"Günzburg";"Kreise";"68,57";"69,30";"68,81";"67,39"
"09775";"Neu-Ulm";"Kreise";"65,63";"65,73";"64,17";"62,49"
